"Name (a)","Non-Equity Threshold","Non-Equity Target","Non-Equity Maximum","Equity Threshold","Equity Target","Equity Maximum","All Other Stock Awards: Number of Shares of Stock or Units","All Other Option Awards: Number of Securities Underlying Options","Exercise or Base Price of Option Awards","Grant Date Fair Value of Stock and Option Awards"
"","($)","($)","($)","(#)","(#)","(#)","(#)","(#)","($/share)","($)"
"","(c)","(d)","(e)","(c)","(g)","(e)","(i) (1)","(j)","(k)","(2)"
"Craig A. Rogerson","","","","","","","","","",""
"2019 ICP","32,031","1,281,250","2,562,500","—","—","—","—","—","—","—"
"2019 LTI","—","2,000,000","4,000,000","—","—","—","—","—","—","—"
"2019 MIP","—","—","—","—","—","—","—","—","—","—"
"RSUs","—","—","—","—","—","—","550,000","—","—","8,453,500"
"PSUs","—","—","—","320,833","1,283,333","1,283,333","—","—","—","15,361,496"
"George F. Knight","","","","","","","","","",""
"2019 ICP","9,180","367,205","734,410","—","—","—","—","—","—","—"
"2019 LTI","—","300,000","600,000","—","—","—","—","—","—","—"
"2019 MIP","—","—","—","—","—","—","—","—","—","—"
"RSUs","—","—","—","—","—","—","37,000","—","—","568,690"
"PSUs","—","—","—","21,583","86,333","86,333","—","—","—","1,033,406"
"Ann Frederix","","","","","","","","","",""
"2019 ICP","5,439","217,557","435,114","—","—","—","—","—","—","—"
"2019 LTI","—","140,324","280,647","—","—","—","—","—","—","—"
"2019 MIP","—","—","—","—","—","—","—","—","—","—"
"RSUs","—","—","—","—","—","—","22,500","—","—","345,825"
"PSUs","—","—","—","13,125","52,500","52,500","—","—","—","628,425"
"Douglas A. Johns","","","","","","","","","",""
"2019 ICP","9,287","371,462","742,924","—","—","—","—","—","—","—"
"2019 LTI","—","250,000","500,000","—","—","—","—","—","—","—"
"2019 MIP","—","—","—","—","—","—","—","—","—","—"
"RSUs","—","—","—","—","—","—","29,000","—","—","445,730"
"PSUs","—","—","—","16,917","67,667","67,667","—","—","—","809,974"
"Matthew Sokol","","","","","","","","","",""
"2019 ICP","5,625","225,000","450,000","—","—","—","—","—","—","—"
"2019 LTI","—","250,000","500,000","—","—","—","—","—","—","—"
"2019 MIP","—","—","—","—","—","—","—","—","—","—"
"RSUs","—","—","—","—","—","—","22,000","—","—","338,140"
"PSUs","—","—","—","12,833","51,333","51,333","—","—","—","614,456"
"Joseph P. Bevilacqua","","","","","","","","","",""
"2019 ICP","—","—","—","—","—","—","—","—","—","—"
"2019 LTI","—","—","—","—","—","—","—","—","—","—"
"2019 MIP","—","—","—","—","—","—","—","—","—","—"
"RSUs","—","—","—","—","—","—","—","—","—","—"
"PSUs","—","—","—","—","—","—","—","—","—","—"
